TIME,DEVICE,CONSUMPTION
2020-01-01 02:24:00,D1,0.540
2020-01-01 02:25:00,D1,0.974
2020-01-01 02:26:00,D1,0.601
2020-01-01 02:27:00,D1,0.864
2020-01-01 02:28:00,D1,0.560
2020-01-01 02:29:00,D1,0.021
2020-01-01 02:30:00,D1,0.764
2020-01-01 02:31:00,D1,0.116
2020-01-01 02:32:00,D1,0.694
2020-01-01 02:33:00,D1,0.182
2020-01-01 02:34:00,D1,0.968
2020-01-01 02:35:00,D1,0.445
2020-01-01 02:36:00,D1,0.362
2020-01-01 02:37:00,D1,0.329
2020-01-01 02:38:00,D1,0.580
2020-01-01 02:39:00,D1,0.985
2020-01-01 02:40:00,D1,0.545
2020-01-01 02:41:00,D1,0.616
2020-01-01 02:42:00,D1,0.491
2020-01-01 02:43:00,D1,0.250
2020-01-01 02:44:00,D1,0.839
2020-01-01 02:45:00,D1,0.832
2020-01-01 02:46:00,D1,0.977
2020-01-01 02:47:00,D1,0.766
2020-01-01 02:48:00,D1,0.507
2020-01-01 02:49:00,D1,0.864
2020-01-01 02:50:00,D1,0.013
2020-01-01 02:51:00,D1,0.072
2020-01-01 02:52:00,D1,0.729
2020-01-01 02:53:00,D1,0.202
2020-01-01 02:54:00,D1,0.146
2020-01-01 02:55:00,D1,0.842
2020-01-01 02:56:00,D1,0.202
2020-01-01 02:57:00,D1,0.049
2020-01-01 02:58:00,D1,0.341
2020-01-01 02:59:00,D1,0.510
2020-01-01 03:00:00,D1,0.167
2020-01-01 03:01:00,D1,0.396
2020-01-01 03:02:00,D1,0.055
2020-01-01 03:03:00,D1,0.126
2020-01-01 03:04:00,D1,0.915
2020-01-01 03:05:00,D1,0.623
2020-01-01 03:06:00,D1,0.163
2020-01-01 03:07:00,D1,0.354
2020-01-01 03:08:00,D1,0.847
2020-01-01 03:09:00,D1,0.569
2020-01-01 03:10:00,D1,0.261
2020-01-01 03:11:00,D1,0.438
2020-01-01 03:12:00,D1,0.197
2020-01-01 03:13:00,D1,0.743
2020-01-01 03:14:00,D1,0.284
2020-01-01 03:15:00,D1,0.697
2020-01-01 03:16:00,D1,0.586
2020-01-01 03:17:00,D1,0.316
2020-01-01 03:18:00,D1,0.373
2020-01-01 03:19:00,D1,0.612
2020-01-01 03:20:00,D1,0.711
2020-01-01 03:21:00,D1,0.806
2020-01-01 03:22:00,D1,0.381
2020-01-01 03:23:00,D1,0.840
2020-01-01 03:24:00,D1,0.556
2020-01-01 03:25:00,D1,0.926
2020-01-01 03:26:00,D1,0.463
2020-01-01 03:27:00,D1,0.553
2020-01-01 03:28:00,D1,0.730
2020-01-01 03:29:00,D1,0.885
2020-01-01 03:30:00,D1,0.722
2020-01-01 03:31:00,D1,0.368
2020-01-01 03:32:00,D1,0.693
2020-01-01 03:33:00,D1,0.530
2020-01-01 03:34:00,D1,0.007
2020-01-01 03:35:00,D1,0.719
2020-01-01 03:36:00,D1,0.888
2020-01-01 03:37:00,D1,0.139
2020-01-01 03:38:00,D1,0.531
2020-01-01 03:39:00,D1,0.974
2020-01-01 03:40:00,D1,0.025
2020-01-01 03:41:00,D1,0.323
2020-01-01 03:42:00,D1,0.168
2020-01-01 03:43:00,D1,0.751
2020-01-01 03:44:00,D1,0.090
2020-01-01 03:45:00,D1,0.454
2020-01-01 03:46:00,D1,0.947
2020-01-01 03:47:00,D1,0.885
2020-01-01 03:48:00,D1,0.935
2020-01-01 03:49:00,D1,0.273
2020-01-01 03:50:00,D1,0.475
2020-01-01 03:51:00,D1,0.223
2020-01-01 03:52:00,D1,0.690
2020-01-01 03:53:00,D1,0.865
2020-01-01 03:54:00,D1,0.768
2020-01-01 03:55:00,D1,0.990
2020-01-01 03:56:00,D1,0.602
2020-01-01 03:57:00,D1,0.950
2020-01-01 03:58:00,D1,0.241
2020-01-01 03:59:00,D1,0.737
2020-01-01 04:00:00,D1,0.325
2020-01-01 04:01:00,D1,0.546
2020-01-01 04:02:00,D1,0.419
2020-01-01 04:03:00,D1,0.021
2020-01-01 04:04:00,D1,0.135
2020-01-01 04:05:00,D1,0.424
2020-01-01 04:06:00,D1,0.257
2020-01-01 04:07:00,D1,0.826
2020-01-01 04:08:00,D1,0.028
2020-01-01 04:09:00,D1,0.387
2020-01-01 04:10:00,D1,0.837
2020-01-01 04:11:00,D1,0.368
2020-01-01 04:12:00,D1,0.140
2020-01-01 04:13:00,D1,0.358
2020-01-01 04:14:00,D1,0.600
2020-01-01 04:15:00,D1,0.410
2020-01-01 04:16:00,D1,0.511
2020-01-01 04:17:00,D1,0.460
2020-01-01 04:18:00,D1,0.212
2020-01-01 04:19:00,D1,0.397
2020-01-01 04:20:00,D1,0.741
2020-01-01 04:21:00,D1,0.727
2020-01-01 04:22:00,D1,0.610
2020-01-01 04:23:00,D1,0.742
2020-01-01 04:24:00,D1,0.730
2020-01-01 04:25:00,D1,0.908
2020-01-01 04:26:00,D1,0.783
2020-01-01 04:27:00,D1,0.357
2020-01-01 04:28:00,D1,0.291
2020-01-01 04:29:00,D1,0.812
2020-01-01 04:30:00,D1,0.356
2020-01-01 04:31:00,D1,0.110
2020-01-01 04:32:00,D1,0.122
2020-01-01 04:33:00,D1,0.025
2020-01-01 04:34:00,D1,0.114
2020-01-01 04:35:00,D1,0.221
2020-01-01 04:36:00,D1,0.292
2020-01-01 04:37:00,D1,0.390
2020-01-01 04:38:00,D1,0.159
2020-01-01 04:39:00,D1,0.726
2020-01-01 04:40:00,D1,0.145
2020-01-01 04:41:00,D1,0.587
2020-01-01 04:42:00,D1,0.566
2020-01-01 04:43:00,D1,0.070
2020-01-01 04:44:00,D1,0.271
2020-01-01 04:45:00,D1,0.266
2020-01-01 04:46:00,D1,0.986
2020-01-01 04:47:00,D1,0.554
2020-01-01 04:48:00,D1,0.989
2020-01-01 04:49:00,D1,0.695
2020-01-01 04:50:00,D1,0.884
2020-01-01 04:51:00,D1,0.853
2020-01-01 04:52:00,D1,0.611
2020-01-01 04:53:00,D1,0.569
2020-01-01 04:54:00,D1,0.779
2020-01-01 04:55:00,D1,0.040
2020-01-01 04:56:00,D1,0.596
2020-01-01 04:57:00,D1,0.688
2020-01-01 04:58:00,D1,0.097
2020-01-01 04:59:00,D1,0.637
2020-01-01 05:00:00,D1,0.605
2020-01-01 05:01:00,D1,0.470
2020-01-01 05:02:00,D1,0.044
2020-01-01 05:03:00,D1,0.960
2020-01-01 05:04:00,D1,0.367
2020-01-01 05:05:00,D1,0.888
2020-01-01 05:06:00,D1,0.182
2020-01-01 05:07:00,D1,0.681
2020-01-01 05:08:00,D1,0.221
2020-01-01 05:09:00,D1,0.225
2020-01-01 05:10:00,D1,0.257
2020-01-01 05:11:00,D1,0.869
2020-01-01 05:12:00,D1,0.177
2020-01-01 05:13:00,D1,0.238
2020-01-01 05:14:00,D1,0.171
2020-01-01 05:15:00,D1,0.935
2020-01-01 05:16:00,D1,0.341
2020-01-01 05:17:00,D1,0.710
2020-01-01 05:18:00,D1,0.908
2020-01-01 05:19:00,D1,0.867
2020-01-01 05:20:00,D1,0.592
2020-01-01 05:21:00,D1,0.086
2020-01-01 05:22:00,D1,0.647
2020-01-01 05:23:00,D1,0.819
2020-01-01 05:24:00,D1,0.479
2020-01-01 05:25:00,D1,0.861
2020-01-01 05:26:00,D1,0.248
2020-01-01 05:27:00,D1,0.664
2020-01-01 05:28:00,D1,0.397
2020-01-01 05:29:00,D1,0.688
2020-01-01 05:30:00,D1,0.821
2020-01-01 05:31:00,D1,0.372
2020-01-01 05:32:00,D1,0.230
2020-01-01 05:33:00,D1,0.668
2020-01-01 05:34:00,D1,0.059
2020-01-01 05:35:00,D1,0.147
2020-01-01 05:36:00,D1,0.838
2020-01-01 05:37:00,D1,0.180
2020-01-01 05:38:00,D1,0.636
2020-01-01 05:39:00,D1,0.115
2020-01-01 05:40:00,D1,0.941
2020-01-01 05:41:00,D1,0.643
2020-01-01 05:42:00,D1,0.005
2020-01-01 05:43:00,D1,0.946
2020-01-01 05:44:00,D1,0.178
2020-01-01 05:45:00,D1,0.077
2020-01-01 05:46:00,D1,0.575
2020-01-01 05:47:00,D1,0.246
2020-01-01 05:48:00,D1,0.391
2020-01-01 05:49:00,D1,0.920
2020-01-01 05:50:00,D1,0.393
2020-01-01 05:51:00,D1,0.704
2020-01-01 05:52:00,D1,0.475
2020-01-01 05:53:00,D1,0.578
2020-01-01 05:54:00,D1,0.132
2020-01-01 05:55:00,D1,0.980
2020-01-01 05:56:00,D1,0.439
2020-01-01 05:57:00,D1,0.392
2020-01-01 05:58:00,D1,0.400
2020-01-01 05:59:00,D1,0.032
2020-01-01 06:00:00,D1,0.691
2020-01-01 06:01:00,D1,0.204
2020-01-01 06:02:00,D1,0.127
2020-01-01 06:03:00,D1,0.170
2020-01-01 06:04:00,D1,0.939
2020-01-01 06:05:00,D1,0.555
2020-01-01 06:06:00,D1,0.079
2020-01-01 06:07:00,D1,0.368
2020-01-01 06:08:00,D1,0.518
2020-01-01 06:09:00,D1,0.566
2020-01-01 06:10:00,D1,0.306
2020-01-01 06:11:00,D1,0.529
2020-01-01 06:12:00,D1,0.389
2020-01-01 06:13:00,D1,0.959
2020-01-01 06:14:00,D1,0.733
2020-01-01 06:15:00,D1,0.215
2020-01-01 06:16:00,D1,0.550
2020-01-01 06:17:00,D1,0.295
2020-01-01 06:18:00,D1,0.920
2020-01-01 06:19:00,D1,0.060
2020-01-01 06:20:00,D1,0.091
2020-01-01 06:21:00,D1,0.431
2020-01-01 06:22:00,D1,0.438
2020-01-01 06:23:00,D1,0.479
2020-01-01 06:24:00,D1,0.679
2020-01-01 06:25:00,D1,0.412
2020-01-01 06:26:00,D1,0.233
2020-01-01 06:27:00,D1,0.545
2020-01-01 06:28:00,D1,0.819
2020-01-01 06:29:00,D1,0.482
2020-01-01 06:30:00,D1,0.820
2020-01-01 06:31:00,D1,0.880
2020-01-01 06:32:00,D1,0.846
2020-01-01 06:33:00,D1,0.684
2020-01-01 06:34:00,D1,0.130
2020-01-01 06:35:00,D1,0.189
2020-01-01 06:36:00,D1,0.242
2020-01-01 06:37:00,D1,0.553
2020-01-01 06:38:00,D1,0.367
2020-01-01 06:39:00,D1,0.661
2020-01-01 06:40:00,D1,0.517
2020-01-01 06:41:00,D1,0.739
2020-01-01 06:42:00,D1,0.285
2020-01-01 06:43:00,D1,0.756
2020-01-01 06:44:00,D1,0.619
2020-01-01 06:45:00,D1,0.015
2020-01-01 06:46:00,D1,0.871
2020-01-01 06:47:00,D1,0.064
2020-01-01 06:48:00,D1,0.532
2020-01-01 06:49:00,D1,0.992
2020-01-01 06:50:00,D1,0.572
2020-01-01 06:51:00,D1,0.815
2020-01-01 06:52:00,D1,0.512
2020-01-01 06:53:00,D1,0.081
2020-01-01 06:54:00,D1,0.796
2020-01-01 06:55:00,D1,0.295
2020-01-01 06:56:00,D1,0.180
2020-01-01 06:57:00,D1,0.643
2020-01-01 06:58:00,D1,0.664
2020-01-01 06:59:00,D1,0.923
2020-01-01 07:00:00,D1,0.515
2020-01-01 07:01:00,D1,0.041
2020-01-01 07:02:00,D1,0.649
2020-01-01 07:03:00,D1,0.957
2020-01-01 07:04:00,D1,0.654
2020-01-01 07:05:00,D1,0.311
2020-01-01 07:06:00,D1,0.007
2020-01-01 07:07:00,D1,0.862
2020-01-01 07:08:00,D1,0.272
2020-01-01 07:09:00,D1,0.474
2020-01-01 07:10:00,D1,0.675
2020-01-01 07:11:00,D1,0.169
2020-01-01 07:12:00,D1,0.249
2020-01-01 07:13:00,D1,0.065
2020-01-01 07:14:00,D1,0.614
2020-01-01 07:15:00,D1,0.254
2020-01-01 07:16:00,D1,0.263
2020-01-01 07:17:00,D1,0.363
2020-01-01 07:18:00,D1,0.419
2020-01-01 07:19:00,D1,0.841
2020-01-01 07:20:00,D1,0.932
2020-01-01 07:21:00,D1,0.895
2020-01-01 07:22:00,D1,0.367
2020-01-01 07:23:00,D1,0.182
2020-01-01 07:24:00,D1,0.136
2020-01-01 07:25:00,D1,0.251
2020-01-01 07:26:00,D1,0.005
2020-01-01 07:27:00,D1,0.834
2020-01-01 07:28:00,D1,0.181
2020-01-01 07:29:00,D1,0.920
2020-01-01 07:30:00,D1,0.777
2020-01-01 07:31:00,D1,0.629
2020-01-01 07:32:00,D1,0.568
2020-01-01 07:33:00,D1,0.871
2020-01-01 07:34:00,D1,0.174
2020-01-01 07:35:00,D1,0.974
2020-01-01 07:36:00,D1,0.188
2020-01-01 07:37:00,D1,0.847
2020-01-01 07:38:00,D1,0.380
2020-01-01 07:39:00,D1,0.872
2020-01-01 07:40:00,D1,0.929
2020-01-01 07:41:00,D1,0.892
2020-01-01 07:42:00,D1,0.399
2020-01-01 07:43:00,D1,0.143
2020-01-01 07:44:00,D1,0.847
2020-01-01 07:45:00,D1,0.480
2020-01-01 07:46:00,D1,0.222
2020-01-01 07:47:00,D1,0.141
2020-01-01 07:48:00,D1,0.228
2020-01-01 07:49:00,D1,0.696
2020-01-01 07:50:00,D1,0.660
2020-01-01 07:51:00,D1,0.918
2020-01-01 07:52:00,D1,0.117
2020-01-01 07:53:00,D1,0.318
2020-01-01 07:54:00,D1,0.116
2020-01-01 07:55:00,D1,0.166
2020-01-01 07:56:00,D1,0.127
2020-01-01 07:57:00,D1,0.359
2020-01-01 07:58:00,D1,0.676
2020-01-01 07:59:00,D1,0.485
2020-01-01 08:00:00,D1,0.666
2020-01-01 08:01:00,D1,0.508
2020-01-01 08:02:00,D1,0.624
2020-01-01 08:03:00,D1,0.455
2020-01-01 08:04:00,D1,0.993
2020-01-01 08:05:00,D1,0.227
2020-01-01 08:06:00,D1,0.672
2020-01-01 08:07:00,D1,0.798
2020-01-01 08:08:00,D1,0.913
2020-01-01 08:09:00,D1,0.710
2020-01-01 08:10:00,D1,0.937
2020-01-01 08:11:00,D1,0.385
2020-01-01 08:12:00,D1,0.271
2020-01-01 08:13:00,D1,0.755
2020-01-01 08:14:00,D1,0.994
2020-01-01 08:15:00,D1,0.206
2020-01-01 08:16:00,D1,0.843
2020-01-01 08:17:00,D1,0.647
2020-01-01 08:18:00,D1,0.113
2020-01-01 08:19:00,D1,0.484
2020-01-01 08:20:00,D1,0.656
2020-01-01 08:21:00,D1,0.528
2020-01-01 08:22:00,D1,0.140
2020-01-01 08:23:00,D1,0.017
2020-01-01 08:24:00,D1,0.240
2020-01-01 08:25:00,D1,0.374
2020-01-01 08:26:00,D1,0.355
2020-01-01 08:27:00,D1,0.462
2020-01-01 08:28:00,D1,0.848
2020-01-01 08:29:00,D1,0.604
2020-01-01 08:30:00,D1,0.018
2020-01-01 08:31:00,D1,0.729
2020-01-01 08:32:00,D1,0.197
2020-01-01 08:33:00,D1,0.563
2020-01-01 08:34:00,D1,0.272
2020-01-01 08:35:00,D1,0.880
2020-01-01 08:36:00,D1,0.859
2020-01-01 08:37:00,D1,0.615
2020-01-01 08:38:00,D1,0.506
2020-01-01 08:39:00,D1,0.898
2020-01-01 08:40:00,D1,0.048
2020-01-01 08:41:00,D1,0.322
2020-01-01 08:42:00,D1,0.310
2020-01-01 08:43:00,D1,0.523
2020-01-01 08:44:00,D1,0.156
2020-01-01 08:45:00,D1,0.261
2020-01-01 08:46:00,D1,0.623
2020-01-01 08:47:00,D1,0.858
2020-01-01 08:48:00,D1,0.090
2020-01-01 08:49:00,D1,0.346
2020-01-01 08:50:00,D1,0.805
2020-01-01 08:51:00,D1,0.842
2020-01-01 08:52:00,D1,0.126
2020-01-01 08:53:00,D1,0.125
2020-01-01 08:54:00,D1,0.878
2020-01-01 08:55:00,D1,0.780
2020-01-01 08:56:00,D1,0.736
2020-01-01 08:57:00,D1,0.435
2020-01-01 08:58:00,D1,0.344
2020-01-01 08:59:00,D1,0.050
2020-01-01 09:00:00,D1,0.626
2020-01-01 09:01:00,D1,0.958
2020-01-01 09:02:00,D1,0.627
2020-01-01 09:03:00,D1,0.777
2020-01-01 09:04:00,D1,0.958
2020-01-01 09:05:00,D1,0.656
2020-01-01 09:06:00,D1,0.363
2020-01-01 09:07:00,D1,0.740
2020-01-01 09:08:00,D1,0.616
2020-01-01 09:09:00,D1,0.854
2020-01-01 09:10:00,D1,0.473
2020-01-01 09:11:00,D1,0.044
2020-01-01 09:12:00,D1,0.173
2020-01-01 09:13:00,D1,0.686
2020-01-01 09:14:00,D1,0.200
2020-01-01 09:15:00,D1,0.093
2020-01-01 09:16:00,D1,0.133
2020-01-01 09:17:00,D1,0.968
2020-01-01 09:18:00,D1,0.068
2020-01-01 09:19:00,D1,0.239
2020-01-01 09:20:00,D1,0.931
2020-01-01 09:21:00,D1,0.131
2020-01-01 09:22:00,D1,0.021
2020-01-01 09:23:00,D1,0.056
2020-01-01 09:24:00,D1,0.105
2020-01-01 09:25:00,D1,0.685
2020-01-01 09:26:00,D1,0.843
2020-01-01 09:27:00,D1,0.590
2020-01-01 09:28:00,D1,0.049
2020-01-01 09:29:00,D1,0.848
2020-01-01 09:30:00,D1,0.319
2020-01-01 09:31:00,D1,0.059
2020-01-01 09:32:00,D1,0.767
2020-01-01 09:33:00,D1,0.409
2020-01-01 09:34:00,D1,0.511
2020-01-01 09:35:00,D1,0.447
2020-01-01 09:36:00,D1,0.057
2020-01-01 09:37:00,D1,0.547
2020-01-01 09:38:00,D1,0.931
2020-01-01 09:39:00,D1,0.140
2020-01-01 09:40:00,D1,0.677
2020-01-01 09:41:00,D1,0.380
2020-01-01 09:42:00,D1,0.392
2020-01-01 09:43:00,D1,0.249
2020-01-01 09:44:00,D1,0.093
2020-01-01 09:45:00,D1,0.229
2020-01-01 09:46:00,D1,0.756
2020-01-01 09:47:00,D1,0.565
2020-01-01 09:48:00,D1,0.584
2020-01-01 09:49:00,D1,0.168
2020-01-01 09:50:00,D1,0.888
2020-01-01 09:51:00,D1,0.131
2020-01-01 09:52:00,D1,0.624
2020-01-01 09:53:00,D1,0.227
2020-01-01 09:54:00,D1,0.622
2020-01-01 09:55:00,D1,0.287
2020-01-01 09:56:00,D1,0.657
2020-01-01 09:57:00,D1,0.769
2020-01-01 09:58:00,D1,0.668
2020-01-01 09:59:00,D1,0.642
2020-01-01 10:00:00,D1,0.621
2020-01-01 10:01:00,D1,0.893
2020-01-01 10:02:00,D1,0.996
2020-01-01 10:03:00,D1,0.857
2020-01-01 10:04:00,D1,0.826
2020-01-01 10:05:00,D1,0.457
2020-01-01 10:06:00,D1,0.379
2020-01-01 10:07:00,D1,0.304
2020-01-01 10:08:00,D1,0.072
2020-01-01 10:09:00,D1,0.212
2020-01-01 10:10:00,D1,0.465
2020-01-01 10:11:00,D1,0.621
2020-01-01 10:12:00,D1,0.245
2020-01-01 10:13:00,D1,0.800
2020-01-01 10:14:00,D1,0.953
2020-01-01 10:15:00,D1,0.971
2020-01-01 10:16:00,D1,0.947
2020-01-01 10:17:00,D1,0.889
2020-01-01 10:18:00,D1,0.195
2020-01-01 10:19:00,D1,0.298
2020-01-01 10:20:00,D1,0.116
2020-01-01 10:21:00,D1,0.502
2020-01-01 10:22:00,D1,0.824
2020-01-01 10:23:00,D1,0.224
2020-01-01 10:24:00,D1,0.015
2020-01-01 10:25:00,D1,0.678
2020-01-01 10:26:00,D1,0.801
2020-01-01 10:27:00,D1,0.307
2020-01-01 10:28:00,D1,0.394
2020-01-01 10:29:00,D1,0.982
2020-01-01 10:30:00,D1,0.625
2020-01-01 10:31:00,D1,0.264
2020-01-01 10:32:00,D1,0.128
2020-01-01 10:33:00,D1,0.995
2020-01-01 10:34:00,D1,0.317
2020-01-01 10:35:00,D1,0.415
2020-01-01 10:36:00,D1,0.123
2020-01-01 10:37:00,D1,0.853
2020-01-01 10:38:00,D1,0.171
2020-01-01 10:39:00,D1,0.038
2020-01-01 10:40:00,D1,0.849
2020-01-01 10:41:00,D1,0.113
2020-01-01 10:42:00,D1,0.221
2020-01-01 10:43:00,D1,0.571
2020-01-01 10:44:00,D1,0.394
2020-01-01 10:45:00,D1,0.699
2020-01-01 10:46:00,D1,0.813
2020-01-01 10:47:00,D1,0.553
2020-01-01 10:48:00,D1,0.567
2020-01-01 10:49:00,D1,0.448
2020-01-01 10:50:00,D1,0.686
2020-01-01 10:51:00,D1,0.020
2020-01-01 10:52:00,D1,0.201
2020-01-01 10:53:00,D1,0.830
2020-01-01 10:54:00,D1,0.459
2020-01-01 10:55:00,D1,0.621
2020-01-01 10:56:00,D1,0.463
2020-01-01 10:57:00,D1,0.746
2020-01-01 10:58:00,D1,0.517
2020-01-01 10:59:00,D1,0.040
2020-01-01 11:00:00,D1,0.684
2020-01-01 11:01:00,D1,0.905
2020-01-01 11:02:00,D1,0.840
2020-01-01 11:03:00,D1,0.491
2020-01-01 11:04:00,D1,0.961
2020-01-01 11:05:00,D1,0.191
2020-01-01 11:06:00,D1,0.454
2020-01-01 11:07:00,D1,0.899
2020-01-01 11:08:00,D1,0.506
2020-01-01 11:09:00,D1,0.595
2020-01-01 11:10:00,D1,0.838
2020-01-01 11:11:00,D1,0.104
2020-01-01 11:12:00,D1,0.549
2020-01-01 11:13:00,D1,0.727
2020-01-01 11:14:00,D1,0.785
2020-01-01 11:15:00,D1,0.896
2020-01-01 11:16:00,D1,0.394
2020-01-01 11:17:00,D1,0.696
2020-01-01 11:18:00,D1,0.938
2020-01-01 11:19:00,D1,0.923
2020-01-01 11:20:00,D1,0.090
2020-01-01 11:21:00,D1,0.121
2020-01-01 11:22:00,D1,0.468
2020-01-01 11:23:00,D1,0.555
2020-01-01 11:24:00,D1,0.071
2020-01-01 11:25:00,D1,0.349
2020-01-01 11:26:00,D1,0.121
2020-01-01 11:27:00,D1,0.597
2020-01-01 11:28:00,D1,0.007
2020-01-01 11:29:00,D1,0.564
2020-01-01 11:30:00,D1,0.189
2020-01-01 11:31:00,D1,0.350
2020-01-01 11:32:00,D1,0.097
2020-01-01 11:33:00,D1,0.270
2020-01-01 11:34:00,D1,0.766
2020-01-01 11:35:00,D1,0.883
2020-01-01 11:36:00,D1,0.967
2020-01-01 11:37:00,D1,0.836
